Question,Answer,Predictive Answer
what is an otters den called,a holt,a luthier 
has tusklessness become a rare abnormality,no,no 
what were the strings of a classical lyre made of,gut,brass tubing bent twice into an oblong shape 
what shape are the eggs of the larest species of turtle,spherical,pleurodira 
what type of tools do biologists use to capture wolves for tagging,darting and foot hold traps,pleurodira 
what is the bridge used for,the transfer of string vibrations,the government seeks to increase its gdp contribution to 3 by 2012 
in switzerland is ã used at all,no,no 
was malay language written using pallava,yes,yes 
which constellation is said to resemble a lyre shape,lyra,yes 
are all penguins countershaded,yes,yes 
what is the capital city,the capital city is helsinki,the largest primarily frenchspeaking city in the western world is paris 
what does a citizen use to propose changes to the constitution,referendum,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly as a federal semiautonomous 
was grant s favorite brand of bourbon whiskey old crow,yes,yes 
what is polar bears skin color,white or cream,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly woodlands 
is it true that volta married the daughter of count ludovico peregrini,yes,yes 
what positions ford played in the school football team,captain,center and linebacker 
did ford attend the university of michigan,yes,yes 
where is collège des quatrenations located,in paris,in greenock 
is it home to the parliament of malaysia,yes,yes 
what food gave isaac newton clues to his theory of gravity,apple,pleurodira 
is berlin the largest city in germany,berlin is germanys largest city,yes 
to whom was millard fillmore born to,to nathaniel and phoebe millard fillmore,to nathaniel and phoebe millard fillmore 
why did grant think that war was unjust,he thought it was designed to gain land open to slavery,he invented a new method 
did faraday lecture on education in 1854,yes,yes 
where did a suicidebombing kill a teacher in 2005,doha players theatre,at the doha players theatre 
do male ants take flight before females,yes male ants take flight before females,yes 
why do honey bee queens continue to lay eggs during the foraging season,to replace daily casualties,to defend against predators an octopus can hide flee quickly expel ink or use colorchanging camouflage 
is indonesia a monarchy with a presidential system,no,no 
where is charlesaugustin de coulomb from,france,italy 
at what age can a zebra breed,five or six,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
the john adams library  housed at the boston public library  contains what,adamss personal collection of more than 3500 volumes,one kind of gas obtained via 
does londons population draw from a wide range of religions,yes,yes 
was blaise pascal a mathematician of the first order,yes,yes 
what did uruguay win in 1828,its independence,its tongue 
was wilson an automobile enthusiast,ouai,yes 
what was the name of james watts mother,agnus muirhead,sea 
are diving ducks heavier tha dabbling ducks,yes,yes 
do mikrolets travel on the main roads,no,no 
what is the last word on the page,ssn22,28 
what areas can giraffes inhabit,savannas grasslands or open woodlands,pleurodira 
is fillmore the first of two presidents to have been an indentured servant,yes,yes 
is a kangaroo a marsupial,yes,yes 
is uruguays landscape mountainous,not really,no 
are there 622650 speakers of german in canada,yes,yes 
where do the majority of loanwords other than sinokorean come from,modern times 90 of which are from english,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
is berlin the headquarters of springer,yes berlin is the headquarters of springer,yes 
what is the order of santiago,a spanish knightly order,brass tubing bent twice into an oblong shape 
what are dark leopards known as colloquially,black panthers,black panthers 
was ford an eagle scout,yes,yes 
where is the word swan derived from,the old english word swan derived from the indoeuropean root swen meaning to sound or to sing,the largest primarily frenchspeaking city in the western world is paris 
how many counties is romania divided into,fortyone,two 
what would a german call avogadros number,loschmidt number,loschmidt number 
how many parts of speech are there in malay,four,three 
