Question,Answer,Predictive Answer
can an elephant kill a rhinoceros,yes,in colonies lack queens college adjacent independence 
when was the pan flute spread to other parts of europe,after the 7th century bc,after the 7th century bc 
was grover cleveland the twentyseventh president of the united states,no,no 
are there many roma in romania,no,no 
is the bass trumpet the smallest trumpet,no,no 
is 9   of the internet  population german,no,no 
how do sea otters insulate themselves,a layer of air trapped in their fur,a flutes volume can be increased by making its resonator and tone holes larger 
how does the distribution size of the leopard compare to the distribution of other wild cats,the leopard had the largest distribution of any wild cat,as of 1996 
what did faraday invent that is used almost universally in science laboratories,the bunsen burner,the leopards ecological role 
is santiago spanish for st james   from santo   saint    iago   james,yes,yes 
how many cymbals typically go in a drum kit,at least 3,at least 3 
what is the name of young swans,cygnets,cygnets 
who was roosevelts presidential hero,lincoln was roosevelts presidential hero,lincoln was roosevelts presidential hero 
did faraday marry sarah barnard,yes faraday married sarah barnard,yes faraday married sarah barnard 
was the game of marn grook played using a ball made from kangaroo by the kurnai people,yes,yes 
what is monroe doctrine,in it monroe proclaimed the americas should be free from future european colonization and free from european interference in sovereign countries affairs it further stated the united states intention to stay neutral in european wars and wars between european powers and their colonies but to consider any new colonies or interference with independent countries in the americas as hostile acts toward the united states,in it monroe proclaimed the americas should be free from future european colonization and free from european interference in sovereign countries affairs it further stated the united states intention to 
why did avogadro lose his chair at the university of turin,he was active in the revolutionary movements of 1821 against the king of sardinia,189 
what year did coolidge open his own law office,1898,1898 
did he die at 1110 pm on march 8 1874 of the aftereffects of a stroke,yes,yes 
did alessandro volta invent the remotely operated pistol,yes,allowing served 
what happened in the early 20th century,the koalas of south australia were largely exterminated,the koalas of south australia were largely exterminated 
is the population of wild giant  pandas growing,according to some reports yes,according to some 200000 hairs per smithsonian base decay thickly 
did lincolns wifes family support slavery,yes,yes 
is malay an agglutinative language,yes,yes 
how does the distribution size of the leopard compare to the distribution of other wild cats,as of 1996 the leopard had the largest distribution of any wild cat although populations before and since have shown a declining trend and are fragmented outside of subsaharan africa,as of 1996 the leopard has ros08_settes rather than cheetahs simple spots the swahili word water wet and winter 
are indian concert flutes available in standard pitches,yes,yes 
how old was charlesaugustin de coulomb when he died,1806,53 
which state were coolidge born in,plymouth windsor county vermont,plymouth windsor county vermont 
what are four species that are commonly referred to as kangaroos,the red kangaroo the eastern grey kangaroo the western grey kangaroo and the antilopine kangaroo,the red kangaroo the eastern grey kangaroo the western grey kangaroo and the antilopine kangaroo 
felis pardus was what,one of the many species described in linnaeuss 18thcentury work systema naturae,one kind relatively and indonesia food 
when did his father die,his father died in 1651,his father died in 1651 
in old french was the plural  for animal animals,yes,yes 
have kangaroos fared well since european s08_settlement,yes,adjacent mud sand michelangelo partido 
does snow fall in egypt,yes,yes 
who was avogadros wife,felicita mazz,felicita mazzé was avogadros wife 
did horace greenley lose in the presidential elections of 1872,si,si 
when was the pan flute used in greece,the 7th century bc,7th century bc 
is the adephaga suborder larger than the polyphaga suborder,no,adjacent mixture smithsonian chitin was specialized proteins 
